Gender	greater50
Woman	Yes
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	Yes
Woman	Yes
Woman	No
Woman	Yes
Woman	Yes
Woman	Yes
Woman	Yes
Woman	Yes
Woman	Yes
Woman	No
Woman	Yes
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	Yes
Woman	Yes
Woman	No
Woman	Yes
Woman	Yes
Woman	Yes
Woman	No
Woman	No
Woman	Yes
Woman	No
Woman	No
Woman	No
Woman	Yes
Woman	Yes
Woman	Yes
Woman	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	Yes
Man	Yes
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
Man	No
Man	No
Man	No
Man	Yes
Man	No
Man	Yes
Man	No
